Sales,Price,Price_24,Price_29,Price_34,Adv,Store Size
225,24,1,0,0,0,34
323,24,1,0,0,0,41
424,24,1,0,0,1,32
268,24,1,0,0,1,28
224,24,1,0,0,0,34
331,24,1,0,0,0,41
254,24,1,0,0,1,23
492,24,1,0,0,1,37
167,29,0,1,0,0,33
226,29,0,1,0,0,39
210,29,0,1,0,1,30
289,29,0,1,0,1,27
204,29,0,1,0,0,37
288,29,0,1,0,0,43
245,29,0,1,0,1,30
161,29,0,1,0,1,19
161,34,0,0,0,0,32
246,34,0,0,0,0,42
128,34,0,0,0,1,29
154,34,0,0,0,1,24
163,34,0,0,0,0,32
151,34,0,0,0,0,36
180,34,0,0,0,1,29
150,34,0,0,0,1,24
190,24,1,0,0,0,34
210,24,1,0,0,0,41
275,24,1,0,0,1,32
200,24,1,0,0,1,28
190,24,1,0,0,0,34
178,24,1,0,0,0,41
157,24,1,0,0,1,23
351,24,1,0,0,1,37
163,29,0,1,0,0,33
148,29,0,1,0,0,39
134,29,0,1,0,1,30
212,29,0,1,0,1,27
200,29,0,1,0,0,37
171,29,0,1,0,0,43
120,29,0,1,0,1,30
116,29,0,1,0,1,19
141,34,0,0,0,0,32
126,34,0,0,0,0,42
83,34,0,0,0,1,29
122,34,0,0,0,1,24
116,34,0,0,0,0,32
112,34,0,0,0,0,36
100,34,0,0,0,1,29
122,34,0,0,0,1,24
205,24,1,0,0,0,34
241,24,1,0,0,0,41
256,24,1,0,0,1,32
201,24,1,0,0,1,28
209,24,1,0,0,0,34
267,24,1,0,0,0,41
185,24,1,0,0,1,23
365,24,1,0,0,1,37
145,29,0,1,0,0,33
170,29,0,1,0,0,39
123,29,0,1,0,1,30
200,29,0,1,0,1,27
175,29,0,1,0,0,37
247,29,0,1,0,0,43
117,29,0,1,0,1,30
111,29,0,1,0,1,19
111,34,0,0,0,0,32
184,34,0,0,0,0,42
83,34,0,0,0,1,29
102,34,0,0,0,1,24
116,34,0,0,0,0,32
119,34,0,0,0,0,36
75,34,0,0,0,1,29
101,34,0,0,0,1,24